

System Ventilation Requirements for Heating

,,Sum of Zone Primary Air Flow - Vpz-sum [ft3/min],System Population - Ps,Sum of Zone Population - Pz-sum,Occupant Diversity - D,Origin of D,Uncorrected Outdoor Air Intake Airflow - Vou [ft3/min],System Primary Airflow - Vps [ft3/min],Average Outdoor Air Fraction - Xs,System Ventilation Efficiency - Ev,Calculation Method for Ev,Outdoor Air Intake Flow Vot [ft3/min],Percent Outdoor Air - %OA,Environment Name of Peak System Population - Ps,Date and Time of Last Peak System Population - Ps
,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,404.1725,0.0000,2.0000,1.0000,Calculated from schedules,0.0000,404.1725,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,157.4999,0.0000,2.0000,1.0000,Calculated from schedules,0.0000,157.4999,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,293.9269,0.0000,2.0000,1.0000,Calculated from schedules,0.0000,293.9269,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,392.3135,0.0000,2.0000,1.0000,Calculated from schedules,0.0000,392.3135,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,159.2804,0.0000,2.0000,1.0000,Calculated from schedules,0.0000,159.2804,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,284.8929,0.0000,2.0000,1.0000,Calculated from schedules,0.0000,284.8929,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,486.8057,0.0000,2.0000,1.0000,Calculated from schedules,0.0000,486.8057,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,212.2746,0.0000,2.0000,1.0000,Calculated from schedules,0.0000,212.2746,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,363.7979,0.0000,2.0000,1.0000,Calculated from schedules,0.0000,363.7979,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,472.3425,0.0000,2.0000,1.0000,Calculated from schedules,0.0000,472.3425,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,209.6670,0.0000,2.0000,1.0000,Calculated from schedules,0.0000,209.6670,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,349.0309,0.0000,2.0000,1.0000,Calculated from schedules,0.0000,349.0309,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,513.3296,0.0000,2.0000,1.0000,Calculated from schedules,0.0000,513.3296,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,243.5502,0.0000,2.0000,1.0000,Calculated from schedules,0.0000,243.5502,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,368.5349,0.0000,2.0000,1.0000,Calculated from schedules,0.0000,368.5349,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,511.4158,0.0000,2.0000,1.0000,Calculated from schedules,0.0000,511.4158,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,250.4690,0.0000,2.0000,1.0000,Calculated from schedules,0.0000,250.4690,0.0000,1.0000,Not calculated,0.0000,0.0000,,
,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,354.3746,0.0000,2.0000,1.0000,Calculated from schedules,0.0000,354.3746,0.0000,1.0000,Not calculated,0.0000,0.0000,,


Zone Ventilation Parameters

,,AirLoop Name,People Outdoor Air Rate - Rp [ft3/min-person],Zone Population - Pz,Area Outdoor Air Rate - Ra [ft3/min-ft2],Zone Floor Area - Az [ft2],Breathing Zone Outdoor Airflow - Vbz [ft3/min],Cooling Zone Air Distribution Effectiveness - Ez-clg,Cooling Zone Outdoor Airflow - Voz-clg [ft3/min],Heating Zone Air Distribution Effectiveness - Ez-htg,Heating Zone Outdoor Airflow - Voz-htg [ft3/min]
,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,0.000000,2.0000,0.000000,1200.55,0.0000,1.0000,0.0000,1.000,0.0000
,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,0.000000,2.0000,0.000000,1200.55,0.0000,1.0000,0.0000,1.000,0.0000
,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,0.000000,2.0000,0.000000,1200.55,0.0000,1.0000,0.0000,1.000,0.0000
,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,0.000000,2.0000,0.000000,1200.55,0.0000,1.0000,0.0000,1.000,0.0000
,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,0.000000,2.0000,0.000000,1200.55,0.0000,1.0000,0.0000,1.000,0.0000
,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,0.000000,2.0000,0.000000,1200.55,0.0000,1.0000,0.0000,1.000,0.0000
,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,0.000000,2.0000,0.000000,1200.55,0.0000,1.0000,0.0000,1.000,0.0000
,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,0.000000,2.0000,0.000000,1200.55,0.0000,1.0000,0.0000,1.000,0.0000
,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,0.000000,2.0000,0.000000,1200.55,0.0000,1.0000,0.0000,1.000,0.0000
,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,0.000000,2.0000,0.000000,1200.55,0.0000,1.0000,0.0000,1.000,0.0000
,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,0.000000,2.0000,0.000000,1200.55,0.0000,1.0000,0.0000,1.000,0.0000
,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,0.000000,2.0000,0.000000,1200.55,0.0000,1.0000,0.0000,1.000,0.0000
,LIVING_UNIT3_BACKROW_TOPFLOOR,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,0.000000,2.0000,0.000000,1200.55,0.0000,1.0000,0.0000,1.000,0.0000
,LIVING_UNIT3_FRONTROW_TOPFLOOR,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,0.000000,2.0000,0.000000,1200.55,0.0000,1.0000,0.0000,1.000,0.0000
,LIVING_UNIT1_FRONTROW_TOPFLOOR,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,0.000000,2.0000,0.000000,1200.55,0.0000,1.0000,0.0000,1.000,0.0000
,LIVING_UNIT2_BACKROW_TOPFLOOR,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,0.000000,2.0000,0.000000,1200.55,0.0000,1.0000,0.0000,1.000,0.0000
,LIVING_UNIT2_FRONTROW_TOPFLOOR,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,0.000000,2.0000,0.000000,1200.55,0.0000,1.0000,0.0000,1.000,0.0000
,LIVING_UNIT1_BACKROW_TOPFLOOR,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,0.000000,2.0000,0.000000,1200.55,0.0000,1.0000,0.0000,1.000,0.0000


System Ventilation Parameters

,,People Outdoor Air Rate - Rp [ft3/min-person],Sum of Zone Population - Pz-sum,Area Outdoor Air Rate - Ra [ft3/min-ft2],Sum of Zone Floor Area - Az-sum [ft2],Breathing Zone Outdoor Airflow - Vbz [ft3/min],Cooling Zone Outdoor Airflow - Voz-clg [ft3/min],Heating Zone Outdoor Airflow - Voz-htg [ft3/min]
,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,0.000000,2.00,0.000000,1200.5533,0.0000,0.0000,0.0000
,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,0.000000,2.00,0.000000,1200.5533,0.0000,0.0000,0.0000
,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,0.000000,2.00,0.000000,1200.5533,0.0000,0.0000,0.0000
,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,0.000000,2.00,0.000000,1200.5533,0.0000,0.0000,0.0000
,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,0.000000,2.00,0.000000,1200.5533,0.0000,0.0000,0.0000
,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,0.000000,2.00,0.000000,1200.5533,0.0000,0.0000,0.0000
,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,0.000000,2.00,0.000000,1200.5533,0.0000,0.0000,0.0000
,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,0.000000,2.00,0.000000,1200.5533,0.0000,0.0000,0.0000
,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,0.000000,2.00,0.000000,1200.5533,0.0000,0.0000,0.0000
,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,0.000000,2.00,0.000000,1200.5533,0.0000,0.0000,0.0000
,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,0.000000,2.00,0.000000,1200.5533,0.0000,0.0000,0.0000
,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,0.000000,2.00,0.000000,1200.5533,0.0000,0.0000,0.0000
,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,0.000000,2.00,0.000000,1200.5533,0.0000,0.0000,0.0000
,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,0.000000,2.00,0.000000,1200.5533,0.0000,0.0000,0.0000
,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,0.000000,2.00,0.000000,1200.5533,0.0000,0.0000,0.0000
,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,0.000000,2.00,0.000000,1200.5533,0.0000,0.0000,0.0000
,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,0.000000,2.00,0.000000,1200.5533,0.0000,0.0000,0.0000
,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,0.000000,2.00,0.000000,1200.5533,0.0000,0.0000,0.0000


Zone Ventilation Calculations for Cooling Design

,,AirLoop Name,Box Type,Zone Primary Airflow - Vpz [ft3/min],Zone Discharge Airflow - Vdz [ft3/min],Minimum Zone Primary Airflow - Vpz-min [ft3/min],Is Vpz-min calculated using the Standard 62.1 Simplified Procedure?,Zone Outdoor Airflow Cooling - Voz-clg [ft3/min],Primary Outdoor Air Fraction - Zpz,Primary Air Fraction - Ep,Secondary Recirculation Fraction- Er,Supply Air Fraction- Fa,Mixed Air Fraction - Fb,Outdoor Air Fraction - Fc,Zone Ventilation Efficiency - Evz
,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,404.1725,404.1725,404.1725,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,157.4999,157.4999,157.4999,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,293.9269,293.9269,293.9269,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,392.3135,392.3135,392.3135,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,159.2804,159.2804,159.2804,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,284.8929,284.8929,284.8929,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,486.8057,486.8057,486.8057,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,212.2746,212.2746,212.2746,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,363.7979,363.7979,363.7979,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,472.3425,472.3425,472.3425,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,209.6670,209.6670,209.6670,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,349.0309,349.0309,349.0309,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT3_BACKROW_TOPFLOOR,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,354.3746,354.3746,354.3746,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT3_FRONTROW_TOPFLOOR,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,368.5349,368.5349,368.5349,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT1_FRONTROW_TOPFLOOR,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,513.3296,513.3296,513.3296,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT2_BACKROW_TOPFLOOR,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,250.4690,250.4690,250.4690,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT2_FRONTROW_TOPFLOOR,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,243.5502,243.5502,243.5502,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT1_BACKROW_TOPFLOOR,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,511.4158,511.4158,511.4158,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000


System Ventilation Calculations for Cooling Design

,,Sum of Zone Primary Airflow - Vpz-sum [ft3/min],System Primary Airflow - Vps [ft3/min],Sum of Zone Discharge Airflow - Vdz-sum [ft3/min],Sum of Min Zone Primary Airflow - Vpz-min [ft3/min],Zone Outdoor Airflow Cooling - Voz-clg [ft3/min],Zone Ventilation Efficiency - Evz-min
,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,404.1725,404.1725,404.1725,404.1725,0.0000,1.0000
,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,157.4999,157.4999,157.4999,157.4999,0.0000,1.0000
,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,293.9269,293.9269,293.9269,293.9269,0.0000,1.0000
,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,392.3135,392.3135,392.3135,392.3135,0.0000,1.0000
,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,159.2804,159.2804,159.2804,159.2804,0.0000,1.0000
,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,284.8929,284.8929,284.8929,284.8929,0.0000,1.0000
,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,486.8057,486.8057,486.8057,486.8057,0.0000,1.0000
,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,212.2746,212.2746,212.2746,212.2746,0.0000,1.0000
,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,363.7979,363.7979,363.7979,363.7979,0.0000,1.0000
,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,472.3425,472.3425,472.3425,472.3425,0.0000,1.0000
,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,209.6670,209.6670,209.6670,209.6670,0.0000,1.0000
,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,349.0309,349.0309,349.0309,349.0309,0.0000,1.0000
,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,513.3296,513.3296,513.3296,513.3296,0.0000,1.0000
,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,243.5502,243.5502,243.5502,243.5502,0.0000,1.0000
,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,368.5349,368.5349,368.5349,368.5349,0.0000,1.0000
,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,511.4158,511.4158,511.4158,511.4158,0.0000,1.0000
,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,250.4690,250.4690,250.4690,250.4690,0.0000,1.0000
,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,354.3746,354.3746,354.3746,354.3746,0.0000,1.0000


Zone Ventilation Calculations for Heating Design

,,AirLoop Name,Box Type,Zone Primary Airflow - Vpz [ft3/min],Zone Discharge Airflow - Vdz [ft3/min],Minimum Zone Primary Airflow - Vpz-min [ft3/min],Is Vpz-min calculated using the Standard 62.1 Simplified Procedure?,Zone Outdoor Airflow Heating - Voz-htg [ft3/min],Primary Outdoor Air Fraction - Zpz,Primary Air Fraction - Ep,Secondary Recirculation Fraction- Er,Supply Air Fraction- Fa,Mixed Air Fraction - Fb,Outdoor Air Fraction - Fc,Zone Ventilation Efficiency - Evz
,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,404.1725,404.1725,404.1725,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,157.4999,157.4999,157.4999,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,293.9269,293.9269,293.9269,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,392.3135,392.3135,392.3135,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,159.2804,159.2804,159.2804,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,284.8929,284.8929,284.8929,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,486.8057,486.8057,486.8057,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,212.2746,212.2746,212.2746,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,363.7979,363.7979,363.7979,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,472.3425,472.3425,472.3425,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,209.6670,209.6670,209.6670,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,349.0309,349.0309,349.0309,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT3_BACKROW_TOPFLOOR,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,354.3746,354.3746,354.3746,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT3_FRONTROW_TOPFLOOR,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,368.5349,368.5349,368.5349,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT1_FRONTROW_TOPFLOOR,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,513.3296,513.3296,513.3296,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT2_BACKROW_TOPFLOOR,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,250.4690,250.4690,250.4690,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT2_FRONTROW_TOPFLOOR,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,243.5502,243.5502,243.5502,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
,LIVING_UNIT1_BACKROW_TOPFLOOR,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:NOREHEAT,511.4158,511.4158,511.4158,No,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000


System Ventilation Calculations for Heating Design

,,Sum of Zone Primary Airflow - Vpz-sum [ft3/min],System Primary Airflow - Vps [ft3/min],Sum of Zone Discharge Airflow - Vdz-sum [ft3/min],Sum of Min Zone Primary Airflow - Vpz-min [ft3/min],Zone Outdoor Airflow Heating - Voz-htg [ft3/min],Zone Ventilation Efficiency - Evz-min
,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,404.1725,404.1725,404.1725,404.1725,0.0000,1.0000
