Date/Time,Heating:Electricity [J](Hourly) 
 01/15  07:00:00,4187541.3786480706 
 01/15  08:00:00,3999455.299827178 
 01/15  09:00:00,2253278.991184458 
 01/15  10:00:00,856639.2826788404 
 01/15  11:00:00,107749.04647802582 
 01/15  12:00:00,562731.0380372748 
 01/15  13:00:00,574881.112222736 
 01/15  14:00:00,0.0 
 01/15  15:00:00,0.0 
 01/15  16:00:00,0.0 
 01/15  17:00:00,360000.0 
 01/15  18:00:00,720000.0 
 01/15  19:00:00,2058311.5348101815 
 01/15  20:00:00,2608869.8967049625 
 01/15  21:00:00,2450713.7210254427 
 01/15  22:00:00,2165604.1009319634 
 01/15  23:00:00,2574229.100812263 
 01/15  24:00:00,2976159.195956608 
 01/16  01:00:00,3111148.2926751254 
 01/16  02:00:00,3323818.5230837464 
 01/16  03:00:00,4029131.556013192 
 01/16  04:00:00,4582648.9970104555 
 01/16  05:00:00,5035771.296615953 
 01/16  06:00:00,4592411.135679575 
 01/16  07:00:00,5609552.823686306 
 01/16  08:00:00,5740959.65399313 
 01/16  09:00:00,3203318.7992386343 
 01/16  10:00:00,831056.7964600604 
 01/16  11:00:00,940779.8581722185 
 01/16  12:00:00,1408259.4779611796 
 01/16  13:00:00,1443422.8839145922 
 01/16  14:00:00,359999.99999999994 
 01/16  15:00:00,0.0 
 01/16  16:00:00,0.0 
 01/16  17:00:00,720000.0 
 01/16  18:00:00,720000.0 
 01/16  19:00:00,1953862.4650414707 
 01/16  20:00:00,2543506.785152957 
 01/16  21:00:00,2224246.3138564215 
 01/16  22:00:00,3319327.222972599 
 01/16  23:00:00,4055444.957038973 
 01/16  24:00:00,3838332.5003365665 
 01/17  01:00:00,2477449.9459316386 
 01/17  02:00:00,3913425.473381086 
 01/17  03:00:00,5273751.589901947 
 01/17  04:00:00,4935068.981925948 
 01/17  05:00:00,5310504.166003243 
 01/17  06:00:00,5093758.542731589 
 01/17  07:00:00,5603273.829096029 
 01/17  08:00:00,5608576.897229776 
 01/17  09:00:00,4137477.710868801 
 01/17  10:00:00,2251114.0796503923 
 01/17  11:00:00,2475022.214381596 
 01/17  12:00:00,3518905.841896694 
 01/17  13:00:00,3123039.4241335327 
 01/17  14:00:00,1676577.6913171245 
 01/17  15:00:00,720000.0 
 01/17  16:00:00,1838799.0264859493 
 01/17  17:00:00,3087752.0281744027 
 01/17  18:00:00,3331787.4002284985 
 01/17  19:00:00,4119883.1983689237 
 01/17  20:00:00,5106530.38481515 
 01/17  21:00:00,6301331.359461173 
 01/17  22:00:00,5995095.46638331 
 01/17  23:00:00,6264785.772868058 
 01/17  24:00:00,8505794.857244391 
 01/18  01:00:00,6122495.190983547 
 01/18  02:00:00,8803230.598564532 
 01/18  03:00:00,7583506.03871911 
 01/18  04:00:00,7474775.228467389 
 01/18  05:00:00,6684457.949630495 
 01/18  06:00:00,5693083.643258702 
 01/18  07:00:00,5669907.2172435885 
 01/18  08:00:00,4970696.883970585 
 01/18  09:00:00,2382782.461912476 
 01/18  10:00:00,187180.16291652722 
 01/18  11:00:00,0.0 
 01/18  12:00:00,0.0 
 01/18  13:00:00,0.0 
 01/18  14:00:00,0.0 
 01/18  15:00:00,0.0 
 01/18  16:00:00,0.0 
 01/18  17:00:00,0.0 
 01/18  18:00:00,0.0 
 01/18  19:00:00,720000.0 
 01/18  20:00:00,830422.9820947191 
 01/18  21:00:00,1230136.8779778895 
 01/18  22:00:00,1418896.8868111803 
 01/18  23:00:00,1455109.5627401907 
